Item,Name,Cases,Deaths,CasesStr,DeathsStr
1,US,90567290,1027369,"90,567,290","1,027,369"
2,India,43920451,526110,"43,920,451","526,110"
3,France,33751295,152600,"33,751,295","152,600"
4,Brazil,33621965,677143,"33,621,965","677,143"
5,Germany,30476605,143364,"30,476,605","143,364"
6,United Kingdom,23422751,183416,"23,422,751","183,416"
7,Italy,20684182,170979,"20,684,182","170,979"
8,"Korea, South",19346764,24907,"19,346,764","24,907"
9,Russia,18268570,374444,"18,268,570","374,444"
10,Turkey,15524071,99184,"15,524,071","99,184"
